id,lat,lon,z
033790-99999,53.03,-0.483,66.4
033840-99999,53.867,-0.433,6
033850-99999,53.467,0.067,8
033880-99999,53.45,-0.2,108
033910-99999,53.093,-0.166,7.6
033920-99999,53.083,0.267,5
033960-99999,53.617,0.15,12
034010-99999,52.95,-4.567,37
034020-99999,52.817,-4.633,253
034050-99999,52.783,-4.733,94
034054-99999,53.475,-1.004,16.8
034100-99999,52.75,-3.467,359
034140-99999,52.798,-2.668,75.9
034145-99999,52.64,-2.306,82.9
034185-99999,52.831,-1.328,93.3
034530-99999,52.736,-0.649,140.5
034620-99999,52.613,-0.476,83.2
034690-99999,52.867,0.15,3
034820-99999,52.648,0.551,22.9
034873-99999,52.85,0.767,65
034880-99999,52.95,1.133,20
034920-99999,52.676,1.283,35.7
034950-99999,52.755,1.358,20.1
034960-99999,52.683,1.683,14
034970-99999,52.583,1.717,3
035020-99999,52.133,-4.567,134
035030-99999,52.35,-3.95,62
035070-99999,52.067,-3.617,307
035200-99999,52.25,-2.883,99
035220-99999,52.083,-2.8,76
035270-99999,52.117,-2.3,44
035290-99999,52.15,-2.033,31
035340-99999,52.454,-1.748,99.7
035350-99999,52.483,-1.683,96
035413-99999,52.37,-1.48,81.4
035440-99999,52.367,-1.333,106
035573-99999,52.072,-0.617,109.1
035600-99999,52.217,-0.483,84
035623-99999,52.367,-0.217,49
035660-99999,52.357,-0.108,41.1
035661-99999,55.682,-6.257,17.1
035715-99999,52.205,0.175,14.3
035773-99999,52.367,0.483,10
035833-99999,52.4,0.567,10
035860-99999,52.333,0.767,53
035900-99999,52.127,0.956,86.6
035953-99999,52.083,1.4,29
035963-99999,52.133,1.433,25.9
036030-99999,51.883,-5.117,111
036040-99999,51.7,-5.05,32
036050-99999,51.717,-4.367,3
036070-99999,51.75,-4.517,5
036090-99999,51.567,-3.983,32
036140-99999,51.633,-3.3,194
036280-99999,51.517,-2.583,59
036333-99999,51.894,-2.167,30.8
036440-99999,51.682,-1.79,87.2
036470-99999,51.867,-1.683,210
036490-99999,51.75,-1.584,87.8
036553-99999,51.933,1.25,133
036580-99999,51.616,-1.096,68.9
036600-99999,51.683,-0.8,205
036720-99999,51.553,-0.418,37.8
036733-99999,51.875,-0.368,160.3
036830-99999,51.885,0.235,106.1
036840-99999,51.883,0.45,87
036880-99999,51.967,0.5,98
036913-99999,51.571,0.696,14.9
036930-99999,51.55,0.833,3
036950-99999,51.667,1.1,8
036960-99999,51.85,1.283,5
037020-99999,51.167,-4.65,43
037070-99999,51.087,-4.15,8.2
037100-99999,51.083,-3.6,347
037150-99999,51.397,-3.343,67.1
037160-99999,51.405,-3.436,49.7
037170-99999,51.483,-3.183,52
037243-99999,51.383,-2.719,189.6
037260-99999,51.467,-2.6,11
037400-99999,51.505,-1.993,156.4
037430-99999,51.2,-1.8,133
037450-99999,51.25,-1.767,139
037460-99999,51.152,-1.747,124.1
037490-99999,51.15,-1.567,91
037610-99999,51.234,-0.943,123.4
037630-99999,51.383,-0.783,74
037660-99999,51.283,-0.767,72
037663-99999,51.331,0.033,182.3
037683-99999,51.505,0.055,5.8
037690-99999,51.144,-0.229,68
037720-99999,51.478,-0.461,25.3
037760-99999,51.148,-0.19,61.6
037780-99999,51.517,-0.117,23
037810-99999,51.3,-0.083,170
037840-99999,51.467,0.3,3
037850-99999,51.2,0.783,91
037910-99999,51.45,0.75,25
037960-99999,51.133,1.35,117
037970-35047,51.35,1.333,50
038040-99999,49.933,-6.3,51
038060-99999,50.064,-5.709,63
038080-99999,50.217,-5.317,88
038090-99999,50.086,-5.256,81.4
038100-99999,50.15,-5.067,42
038140-99999,49.95,-5.183,57
038170-99999,50.433,-5,118.9
038230-99999,50.5,-4.667,199
038270-99999,50.35,-4.117,27
038273-99999,50.423,-4.106,145.1
038370-99999,50.4,-3.483,8
038390-99999,50.734,-3.414,31.1
038400-99999,50.867,-3.233,253
038530-99999,51.009,-2.639,22.9
038570-99999,50.517,-2.45,52
038580-99999,50.567,-2.45,3
038620-99999,50.78,-1.843,11.6
038650-99999,50.95,-1.357,13.4
038660-99999,50.583,-1.3,24
038720-99999,50.817,-0.917,3
038740-99999,50.8,-1.217,13
038760-99999,50.836,-0.297,2.1
038800-99999,50.783,0.05,5
038820-99999,50.9,0.317,52
038840-99999,50.867,0.333,17
038873-99999,50.956,0.939,4
038915-99999,49.706,-2.215,88.4
038940-99999,49.435,-2.602,102.4
038950-99999,49.208,-2.196,84.4
039020-99999,54.433,-8.05,145
039030-99999,54.4,-7.65,47
039040-99999,54.7,-7.583,50
039050-99999,54.667,-7.317,113
039060-99999,55.017,-7.233,73
039084-99999,55.043,-7.161,6.7
039110-99999,54.717,-6.817,227
039150-99999,54.867,-6.45,65
039160-99999,55.183,-6.167,156
039170-99999,54.658,-6.216,81.7
039200-99999,54.483,-6.1,38
039230-99999,54.233,-6.5,160
039240-99999,54.618,-5.873,4.6
039250-99999,54.667,-5.583,34
039280-99999,54.85,-5.8,3
039520-99999,51.8,-8.25,41
039530-99999,51.933,-10.25,30
039550-99999,51.841,-8.491,153
039570-99999,52.25,-6.333,25
039600-99999,52.667,-7.267,64
